"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://eghiseul.ro/_next/static/chunks/a6dad97d9634a72d.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/a6dad97d9634a72d.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/_next/static/chunks/442a64f8e01a213b.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/442a64f8e01a213b.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/servicii/certificat-constatator-online/","text/html; charset=utf-8","200","OK","Indexable","","e7e734f6d06708792d900c4df067b9d9","59","https://eghiseul.ro/servicii/certificat-constatator-online/","https://eghiseul.ro/servicii/certificat-constatator-online/"
"https://eghiseul.ro/comanda/status/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","35","","https://eghiseul.ro/comanda/status/"
"https://eghiseul.ro/_next/static/chunks/c28e7f4a72087e5b.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/c28e7f4a72087e5b.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/termeni-si-conditii/","text/html; charset=utf-8","200","OK","Indexable","","e212593a8f0e298449c89d2ae0a5801b","40","https://eghiseul.ro/termeni-si-conditii/","https://eghiseul.ro/termeni-si-conditii/"
"https://eghiseul.ro/servicii/copie-carte-funciara/","text/html; charset=utf-8","200","OK","Indexable","","d49913f4ced53e5144013be4423356fb","50","https://eghiseul.ro/servicii/copie-carte-funciara/","https://eghiseul.ro/servicii/copie-carte-funciara/"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Farticole%2Fsuspendare-activitate-firma-ghid.webp&w=3840&q=75","image/webp","200","OK","Indexable","","","109","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Farticole%2Fsuspendare-activitate-firma-ghid.webp&w=3840&q=75"
"https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","text/html; charset=utf-8","200","OK","Indexable","","f784502463d77b0704d5c9ef7c9f7370","63","https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/","https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/"
"https://eghiseul.ro/_next/static/chunks/16bafcc002ad0ec6.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/16bafcc002ad0ec6.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcazier-fiscal.png&w=3840&q=75","image/png","200","OK","Indexable","","","90","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcazier-fiscal.png&w=3840&q=75"
"https://eghiseul.ro/politica-de-anulare/","text/html; charset=utf-8","200","OK","Indexable","","aab10ce4346510fb0ab7c9b542f0961b","40","https://eghiseul.ro/politica-de-anulare/","https://eghiseul.ro/politica-de-anulare/"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-constatator.png&w=3840&q=75","image/png","200","OK","Indexable","","","99","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-constatator.png&w=3840&q=75"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-nastere.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-nastere.webp&w=3840&q=75"
"https://eghiseul.ro/calculator/impozit-casa/","text/html; charset=utf-8","200","OK","Indexable","","40f85276dbb9870b916b45cf4c9e30f5","44","https://eghiseul.ro/calculator/impozit-casa/","https://eghiseul.ro/calculator/impozit-casa/"
"https://eghiseul.ro/_next/static/chunks/76c16641eb3ae2fa.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/76c16641eb3ae2fa.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/_next/static/chunks/01053d2def082238.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/01053d2def082238.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/calculator/indemnizatie-somaj/","text/html; charset=utf-8","200","OK","Indexable","","7902b8265b5bff6f10208971f65e1836","50","https://eghiseul.ro/calculator/indemnizatie-somaj/","https://eghiseul.ro/calculator/indemnizatie-somaj/"
"https://eghiseul.ro/gdpr/","text/html; charset=utf-8","200","OK","Indexable","","c5cb73d723a386877ed7b16538103703","25","https://eghiseul.ro/gdpr/","https://eghiseul.ro/gdpr/"
"https://eghiseul.ro/calculator/amenda-circulatie/","text/html; charset=utf-8","200","OK","Indexable","","3331972040937beb77576c8d3720f266","49","https://eghiseul.ro/calculator/amenda-circulatie/","https://eghiseul.ro/calculator/amenda-circulatie/"
"https://eghiseul.ro/politica-cookies/","text/html; charset=utf-8","200","OK","Indexable","","76d588986012881df610e3d6b4d7f034","37","https://eghiseul.ro/politica-cookies/","https://eghiseul.ro/politica-cookies/"
"https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","text/html; charset=utf-8","200","OK","Indexable","","4ca47827a8cfae9ecbe003b4c67ba229","59","https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/","https://eghiseul.ro/apostila-de-la-haga-ghid-acte-obtinere/"
"https://eghiseul.ro/servicii/certificat-urbanism-informare/","text/html; charset=utf-8","200","OK","Indexable","","8ba83232bd50526d84dad4c12dcb57d6","59","https://eghiseul.ro/servicii/certificat-urbanism-informare/","https://eghiseul.ro/servicii/certificat-urbanism-informare/"
"https://eghiseul.ro/_next/static/chunks/c1e3ec6540071fa2.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","application/javascript; charset=utf-8","200","OK","Indexable","","","96","","https://eghiseul.ro/_next/static/chunks/c1e3ec6540071fa2.js?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
"https://eghiseul.ro/calculator/tva/","text/html; charset=utf-8","200","OK","Indexable","","4bc7b2fdcad153f33334a0f25f9b2ca5","35","https://eghiseul.ro/calculator/tva/","https://eghiseul.ro/calculator/tva/"
"https://eghiseul.ro/calculator/pensie-alimentara/","text/html; charset=utf-8","200","OK","Indexable","","45e805dce17498c773074fd3c23fe26a","49","https://eghiseul.ro/calculator/pensie-alimentara/","https://eghiseul.ro/calculator/pensie-alimentara/"
"https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-integritate.png&w=3840&q=75","image/png","200","OK","Indexable","","","99","","https://eghiseul.ro/_next/image/?url=%2Fimages%2Fspecimens%2Fcertificat-integritate.png&w=3840&q=75"
"https://eghiseul.ro/_next/static/chunks/c23b1e9a9881f9d5.css?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi","text/css; charset=utf-8","200","OK","Indexable","","","97","","https://eghiseul.ro/_next/static/chunks/c23b1e9a9881f9d5.css?dpl=dpl_67tH8DnrrsjBhYi55ERePfEYAbMi"
