Raport la nivel de campanie
Toată perioada
Acțiune de conversie	Starea campaniei	Campanie	Buget	Numele bugetului	Tip de buget	Codul monedei	Stare	Motive pentru stare	Scorul de optimizare	Tipul campaniei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Tipul strategiei de licitare	Clicuri	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	CPC med.	Cost/Conversie	Valoarea inițială a conv.
Purchase	Întreruptă	OPT - Certificat Constatator	"1000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"437.404,51"	0	"5.522,33"	0	0	"437.387,06"
Apeluri din anunțuri	Întreruptă	OPT - Certificat Constatator	"1000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"2,00"	0	"2,00"	0	0	"2,00"
Coș de cumpărături	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"1.683,00"	0	"1.683,00"	0	0	"1.683,00"
Purchase	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"236.182,32"	0	"10.172,46"	0	0	"236.174,20"
Apeluri din anunțuri	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"11,00"	0	"11,00"	0	0	"0,00"
Transcriere Certificat de Căsătorie Conversie	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"0,00"	0	"26,00"	0	0	"0,00"
Eliberare Certificat de Naștere Conversie	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Transcriere Certificat de Naștere Conversie	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"0,00"	0	"1,00"	0	0	"0,00"
Extras de Carte Funciara Online Conversie	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Certificat Constatator Online Conversie	Întreruptă	Extras CF - SEARCH CAMPAIGN	"2000,00"	 --	Zilnic	RON	Întrerupt	campanie întreruptă; majoritatea anunțurilor au fost respinse	 --	Căutați	0	0	0	 --	0	0	"0,00"	0	0	Valoare ROAS vizată	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
