termen,campanie,clicuri,cost_ron,conversii,valoare_conv_ron
extras de carte funciara constanta,Extras CF - SEARCH CAMPAIGN,210,835.91,31.9,0
caziere online,OPT- Cazier Judiciar Online,1185,2649.18,31.46,0
constatator online,OPT - Certificat Constatator,212,2509.0,30.99,0
cadastru sibiu,Extras CF - SEARCH CAMPAIGN,299,637.79,30.66,0
cazier judiciar persoane fizice,OPT- Cazier Judiciar Online,818,2923.77,30.17,0
ghiseul ro cazier judiciar,ASSISTENTA NOU,105,182.18,30.0,0
hub mai gov ro cazier judiciar,ASSISTENTA NOU,24,85.12,30.0,0
ancpi ro,Extras CF - SEARCH CAMPAIGN,733,1485.02,29.83,0
certificat de cazier fiscal online,OTP - CAZIER FISCAL,545,1072.24,29.65,0
cf online cluj,Extras CF - SEARCH CAMPAIGN,215,919.27,29.5,0
certificat de cazier judiciar,OPT- Cazier Judiciar Online,844,2544.67,29.06,0
cazier judiciar firma,OPT- Cazier Judiciar Online,502,1427.7,28.3,0
extras cf online timisoara,Extras CF - SEARCH CAMPAIGN,189,794.14,28.0,0
eliberare certificat fiscal online,OTP - CAZIER FISCAL,1446,1304.71,27.94,0
certificat constatator extins online,OPT - Certificat Constatator,210,1676.81,27.84,0
cazier judiciar romania,OPT- Cazier Judiciar Online,285,1510.14,27.68,0
ghiseul ro cazier judiciar online,OPT- Cazier Judiciar Online,2440,4347.03,27.52,0
ocpi iasi,Extras CF - SEARCH CAMPAIGN,353,961.97,27.02,0
extras carte funciara timisoara,Extras CF - SEARCH CAMPAIGN,265,1286.51,27.0,0
ancpi cluj,Extras CF - SEARCH CAMPAIGN,369,864.69,27.0,0
cf online,Extras CF - SEARCH CAMPAIGN,196,681.41,27.0,0
cazier judiciar persoane juridice,ASSISTENTA NOU,119,393.23,27.0,0
ancpi extras cf,Extras CF - SEARCH CAMPAIGN,676,1489.17,26.88,0
onrc,OPT - Certificat Constatator,742,2083.58,26.01,0
eliberare cf online,Extras CF - SEARCH CAMPAIGN,300,1134.17,26.0,0
ancpi brasov,Extras CF - SEARCH CAMPAIGN,408,1040.67,26.0,0
extras cf online,PMAX-Vanzari,363,1860.01,25.99,0
certificat onrc,OPT - Certificat Constatator,448,3389.36,25.67,0
cazier fiscal anaf,OTP - CAZIER FISCAL,800,1133.67,25.67,0
cadastru timisoara,Extras CF - SEARCH CAMPAIGN,398,857.93,25.33,0
eliberare cf online,Extras CF - SEARCH CAMPAIGN,216,932.6,25.0,0
extras cf online sibiu,Extras CF - SEARCH CAMPAIGN,323,1532.45,24.98,0
eliberare cazier judiciar,ASSISTENTA NOU,299,495.62,24.95,0
cazier judiciar online,ASSISTENTA NOU,1322,1740.37,24.66,0
registrul comertului timisoara,OPT - Certificat Constatator,347,1221.16,24.01,0
onrc constanta,OPT - Certificat Constatator,489,1469.52,24.0,0
certificat fiscal pentru cadastru si intabulare,Extras CF - SEARCH CAMPAIGN,41,68.42,24.0,0
extras de carte funciara gratuit,Extras CF - SEARCH CAMPAIGN,585,1728.52,23.96,0
certificat cazier fiscal online,OTP - CAZIER FISCAL,338,644.12,23.82,0
cazier judiciar online gratis,OPT- Cazier Judiciar Online,497,1464.88,23.68,0
ocpi,Extras CF - SEARCH CAMPAIGN,581,1241.66,23.5,0
ocpi brasov,Extras CF - SEARCH CAMPAIGN,391,942.76,22.99,0
extras de carte funciara ilfov,Extras CF - SEARCH CAMPAIGN,211,986.7,22.52,0
obtinere certificat constatator online,OPT - Certificat Constatator,188,1387.11,22.5,0
extras de carte funciară online,Extras CF - SEARCH CAMPAIGN,231,1255.89,22.44,0
cazier,OPT- Cazier Judiciar Online,2211,2512.58,22.01,0
extras onrc,OPT - Certificat Constatator,489,1956.96,22.01,0
oficiul de cadastru și publicitate imobiliară,Extras CF - SEARCH CAMPAIGN,396,888.53,22.0,0
extras carte funciara gratuit,Extras CF - SEARCH CAMPAIGN,619,1542.74,21.89,0
extras de carte funciara pentru informare,Extras CF - SEARCH CAMPAIGN,155,639.52,21.85,0
