Raportul Cuvânt cheie pentru Rețeaua de căutare
Toată perioada
Starea cuvântului cheie	Cuvânt cheie	Tip de potrivire	Campanie	Grup de anunțuri	Stare	Motive pentru stare	Codul monedei	CPC max.	Adresa URL finală	Clicuri	Af.	CTR	CPC med.	Cost	Scorul de calitate	Valoarea CTR estimată	Experiența legată de pagina de destinație	Relevanța anunțurilor	Cotă afișări în Rețeaua de căutare	Procentaj de afișări în primele poziții în Rețeaua de căutare	IS - valoarea absolută superioară din Rețeaua de căutare	Procentaj de afișări pierdute în Rețeaua de căutare (poziție)	Procentaj de afișări cu potrivire exactă în Rețeaua de căutare	% afișări (în primele poziții)	% afișări (în prima poziție)	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	Cost/Conversie	Valoarea inițială a conv.
Activat	eliberari cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		490	2.248	"21,80%"	"1,15"	"563,51"	 --	 --	 --	 --	"20,35%"	"17,64%"	< 10%	"79,65%"	"31,01%"	"86,22%"	"16,85%"	"1,43%"	"0,00"	"0,00"	"6,99"	"80,59"	"0,00"
Activat	certificatul de cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		12.351	57.164	"21,61%"	"2,18"	"26957,93"	 --	 --	 --	 --	"23,93%"	"19,61%"	< 10%	"75,70%"	"64,35%"	"80,33%"	"31,20%"	"2,28%"	"64.866,16"	"2,41"	"282,02"	"95,59"	"64.865,79"
Activat	cazier judiciar de unde se obtine	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		153	1.091	"14,02%"	"1,48"	"226,20"	 --	 --	 --	 --	"15,15%"	"12,80%"	< 10%	"84,77%"	"43,85%"	"83,74%"	"17,58%"	"2,28%"	"234,37"	"1,04"	"3,49"	"64,75"	"234,37"
Activat	cazier online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		56.601	208.086	"27,20%"	"1,56"	"88539,91"	 --	 --	 --	 --	"41,74%"	"35,82%"	< 10%	"56,61%"	"49,00%"	"84,78%"	"16,09%"	"1,51%"	"145.959,58"	"1,65"	"852,60"	"103,85"	"145.958,12"
Activat	cazierul judiciar se poate obtine online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		739	3.559	"20,76%"	"2,34"	"1728,10"	 --	 --	 --	 --	"39,65%"	"34,54%"	< 10%	"60,25%"	"57,76%"	"85,15%"	"17,28%"	"1,52%"	"2.498,31"	"1,45"	"11,22"	"154,05"	"2.498,28"
Activat	documente necesare pentru cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		1.560	9.892	"15,77%"	"2,09"	"3255,35"	 --	 --	 --	 --	"18,22%"	"15,11%"	< 10%	"81,67%"	"17,89%"	"80,19%"	"21,94%"	"2,31%"	"7.119,41"	"2,19"	"36,09"	"90,20"	"7.119,33"
Activat	cazierul judiciar online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		2.444	10.655	"22,94%"	"2,67"	"6520,44"	 --	 --	 --	 --	"32,84%"	"28,77%"	< 10%	"67,01%"	"53,65%"	"85,37%"	"19,25%"	"1,99%"	"7.693,08"	"1,18"	"48,76"	"133,74"	"7.692,94"
Activat	program cazier	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		4.327	31.910	"13,56%"	"1,81"	"7851,15"	 --	 --	 --	 --	< 10%	< 10%	< 10%	> 90 %	< 10%	"68,81%"	"26,84%"	"1,19%"	"13.777,53"	"1,75"	"51,47"	"152,53"	"13.777,39"
Activat	documente necesare cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		1.228	6.317	"19,44%"	"1,93"	"2368,28"	 --	 --	 --	 --	"17,13%"	"14,35%"	< 10%	"82,65%"	"19,03%"	"80,31%"	"22,20%"	"1,65%"	"3.470,86"	"1,47"	"20,26"	"116,88"	"3.470,83"
Activat	ghiseul ro cazier	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		13.783	63.377	"21,75%"	"2,46"	"33930,78"	 --	 --	 --	 --	"38,26%"	"33,40%"	"15,72%"	"61,74%"	"35,87%"	"82,62%"	"38,45%"	"1,70%"	"78.902,68"	"2,33"	"234,30"	"144,82"	"78.901,58"
Activat	se poate obtine cazierul online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		387	2.055	"18,83%"	"2,37"	"918,20"	 --	 --	 --	 --	"25,48%"	"21,20%"	< 10%	"74,37%"	"51,11%"	"79,01%"	"23,16%"	"2,58%"	"3.417,72"	"3,72"	"9,98"	"91,99"	"3.417,72"
Activat	cazier electronic	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		275	1.223	"22,49%"	"2,49"	"684,19"	 --	 --	 --	 --	"33,22%"	"28,48%"	"10,11%"	"66,61%"	"55,90%"	"84,04%"	"29,36%"	"2,00%"	"518,89"	"0,76"	"5,51"	"124,16"	"518,89"
Activat	eliberare cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		8.950	42.889	"20,87%"	"1,43"	"12771,95"	 --	 --	 --	 --	"21,15%"	"18,10%"	< 10%	"71,94%"	"40,31%"	"84,44%"	"24,00%"	"1,22%"	"13.448,44"	"1,05"	"109,56"	"116,58"	"13.448,24"
Activat	cazier judiciar documente necesare	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		570	2.698	"21,13%"	"1,58"	"902,94"	 --	 --	 --	 --	"15,18%"	"12,22%"	< 10%	"84,66%"	"14,62%"	"78,50%"	"21,58%"	"1,99%"	"2.412,53"	"2,67"	"11,35"	"79,55"	"2.412,50"
Activat	eliberare cazier judiciar online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		17.460	68.401	"25,53%"	"1,40"	"24522,97"	 --	 --	 --	 --	"22,05%"	"17,89%"	< 10%	"75,00%"	"51,20%"	"80,56%"	"16,17%"	"1,56%"	"23.148,43"	"0,94"	"271,54"	"90,31"	"23.148,12"
Activat	obtinere cazier	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		11.213	62.969	"17,81%"	"1,96"	"21924,32"	 --	 --	 --	 --	"20,77%"	"17,46%"	< 10%	"78,99%"	"36,10%"	"82,26%"	"25,44%"	"1,59%"	"32.492,15"	"1,48"	"178,47"	"122,85"	"32.491,83"
Activat	eliberare cazier	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		26.450	135.535	"19,52%"	"1,10"	"28984,09"	 --	 --	 --	 --	"15,06%"	"12,38%"	< 10%	"83,90%"	"35,33%"	"81,33%"	"26,44%"	"1,22%"	"25.558,52"	"0,88"	"322,81"	"89,79"	"25.558,33"
Activat	cazier judiciar cluj	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		1.795	12.770	"14,06%"	"2,03"	"3637,55"	 --	 --	 --	 --	"33,30%"	"29,09%"	"11,68%"	"66,70%"	"34,55%"	"84,08%"	"33,42%"	"1,36%"	"7.656,07"	"2,10"	"24,46"	"148,69"	"7.655,92"
Activat	obtinere cazier online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		995	4.294	"23,17%"	"1,95"	"1943,56"	 --	 --	 --	 --	"22,73%"	"18,63%"	< 10%	"77,23%"	"48,38%"	"81,34%"	"16,66%"	"2,12%"	"7.027,34"	"3,62"	"21,09"	"92,15"	"7.027,33"
Activat	cazier judiciar persoane juridice online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		1.575	10.854	"14,51%"	"3,49"	"5492,06"	 --	 --	 --	 --	"27,11%"	"23,27%"	< 10%	"72,79%"	"83,09%"	"83,94%"	"11,85%"	"1,89%"	"5.404,24"	"0,98"	"29,72"	"184,79"	"5.404,19"
Activat	de unde pot obtine cazierul judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		110	738	"14,91%"	"2,08"	"228,49"	 --	 --	 --	 --	"19,69%"	"16,72%"	< 10%	"80,25%"	"43,35%"	"84,19%"	"19,30%"	"5,46%"	"2.653,54"	"11,61"	"6,01"	"38,01"	"2.653,50"
