cluster,n_pagini,n_indexabile,outlinks_identic,unique_inlinks_identic,CV_word_count_pct,CV_text_ratio_pct,CV_size_bytes_pct,jaccard_median_corp_doc05,clicuri_GSC_3luni
locatie-cazier,48,8,48/48 @ 142,48/48 @ 49,2.3,0.9,1.2,0.6635,88
locatie-cf,42,42,42/42 @ 101,42/42 @ 14,11.4,3.7,3.8,0.5562,111
serviciu,29,29,7/29 @ 91,20/29 @ 232,26.0,7.5,15.8,—,7445
calculator,40,40,13/40 @ 88,18/40 @ 232,13.8,8.3,2.9,0.019,47768
articol,59,58,11/59 @ 88,14/59 @ 3,68.1,27.5,17.0,—,41589
variant-serviciu,2,2,1/2 @ 87,2/2 @ 232,0.9,0.6,0.5,—,9
