set	n	medianJaccard	min	max	p25	p75	medianWords	shared_sentences_all	sharedWords	sharedPctOfMedian
cazier oraș (48)	48	0.6635	0.61	0.7306	0.6464	0.6753	1387	33	522	37.6
CF județ (42)	42	0.5562	0.4909	0.713	0.5439	0.6895	766	25	329	43
servicii cadastrale topograf (14)	14	0.2959	0.2447	0.3852	0.2625	0.3145	2332.5	32	597	25.6
articole constatator use-case (4)	4	0.0265	0.0216	0.0341	0.0247	0.0292	1433.5	2	32	2.2
articole constatator tip (4)	4	0.036	0.0274	0.0596	0.0275	0.0467	886	2	32	3.6
articole celibat (3)	3	0.0216	0.0167	0.0303	0.0167	0.0303	1615	2	32	2
articole certificat naștere (6)	6	0.0165	0.0109	0.0863	0.0141	0.0527	1337	2	32	2.4
pagini servicii stare civilă (3)	3	0.2504	0.2302	0.3158	0.2302	0.3158	2729	31	547	20
calculatoare (42)	42	0.019	0.0034	0.0516	0.0159	0.0222	1364.5	0	0	0
