path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/calculator/penalitati-anaf/,calculator,200,Indexable,,1636,257,6.366,58.581,6.073,220186,2,2,4,4,88,56,4,73,635,125,757,37,da,"index, follow",0.14,17,509
/calculator/pensie-alimentara/,calculator,200,Indexable,,1259,219,5.749,62.374,4.944,210084,1,2,234,232,88,53,4,73,656,156,932,33,da,"index, follow",0.072,3298,33560
/calculator/pensie-invaliditate/,calculator,200,Indexable,,1282,188,6.819,68.46,5.071,206093,2,2,2,2,89,54,4,70,575,161,930,33,da,"index, follow",0.059,7201,108736
/calculator/rambursare-anticipata/,calculator,200,Indexable,,1026,174,5.897,54.738,4.671,198697,2,2,5,4,88,54,4,75,696,157,955,39,da,"index, follow",0.304,9,573
/calculator/reabilitare/,calculator,200,Indexable,,1406,214,6.57,44.806,5.702,209916,2,2,5,5,91,55,4,72,663,136,810,38,da,"index, follow",0.168,290,8591
/calculator/salariu/,calculator,200,Indexable,,1111,203,5.473,76.169,4.621,202027,1,2,254,232,87,54,4,74,631,126,757,32,da,"index, follow",0.075,14075,1081714
/calculator/spor-salarial/,calculator,200,Indexable,,1352,218,6.202,73.14,5.304,205767,2,2,2,2,87,55,4,61,554,148,939,47,da,"index, follow",0.124,17,642
/calculator/taxa-judiciara-de-timbru/,calculator,200,Indexable,,1540,294,5.238,69.454,5.798,209769,2,2,7,7,88,55,4,68,627,126,765,35,da,"index, follow",0.206,376,21937
/calculator/taxe-notariale/,calculator,200,Indexable,,1440,255,5.647,71.324,5.316,219807,1,2,292,232,90,55,4,75,681,157,935,30,da,"index, follow",0.222,253,14629
/calculator/taxe-srl/,calculator,200,Indexable,,1106,203,5.448,74.481,4.704,200152,2,2,4,4,89,55,4,68,608,148,902,24,da,"index, follow",0.047,58,3470
/calculator/termene-judiciare/,calculator,200,Indexable,,1333,209,6.378,65.052,5.199,208454,1,2,237,232,88,55,4,72,643,166,992,33,da,"index, follow",0.068,1830,68156
/calculator/tva/,calculator,200,Indexable,,1477,245,6.029,87.763,5.242,212263,1,2,240,232,88,53,4,70,653,115,723,19,da,"index, follow",0.146,2240,169556
/calculator/valabilitate-documente/,calculator,200,Indexable,,768,118,6.508,56.475,3.836,198791,1,2,241,232,92,53,4,98,867,224,1278,29,da,"index, follow",0.071,6,2870
/calculator/varsta-pensionare/,calculator,200,Indexable,,1240,175,7.086,68.377,5.057,203586,1,2,238,232,90,55,4,71,643,133,796,31,da,"index, follow",0.183,2,37
