date,pages,flag,breakdown,routes
2026-06-25,16,DUMP,article/guide:2; service page:14,/ce-este-planul-cadastral /ce-este-un-releveu /servicii/actualizare-adresa-cf /servicii/certificat-detineri-imobile /servicii/certificat-sarcini /servicii/copie-arhiva-ocpi /servicii/copie-carte-funciara /servicii/copie-contract-vanzare /servicii/copie-intabulare /servicii/copie-inventar-coordonate /servicii/copie-plan-cadastral /servicii/copie-plan-incadrare /servicii/copie-releveu /servicii/extras-cf-colectiv /servicii/identificare-imobile-proprietar /servicii/plan-amplasament-delimitare
2026-07-13,2,,article/guide:2,/certificat-constatator-cu-istoric /extras-carte-funciara-gratuit
2026-07-14,6,DUMP,calculator/tool:4; article/guide:2,/calculator/cat-pot-construi /calculator/cost-cadastru-intabulare /calculator/jugar-stanjen-in-mp /calculator/valabilitate-documente /cat-costa-cadastrul-si-intabularea /cat-poti-construi-pe-teren
2026-07-15,3,DUMP,article/guide:2; legal/trust:1,/ancpi-nu-functioneaza /politica-de-anulare /sms-fals-amenda-ghiseul-ro
2026-07-17,4,DUMP,article/guide:4,/certificat-constatator-de-baza /certificat-constatator-insolventa /certificat-constatator-pfa /verificare-proprietar-imobil
2026-07-20,1,,article/guide:1,/tva-9-locuinte-31-iulie-2026
2026-07-21,1,,service page:1,/servicii/certificat-urbanism-informare
2026-07-26,2,,article/guide:2,/cazier-judiciar-online-gratuit /certificat-de-nastere-din-strainatate
2026-07-29,1,,article/guide:1,/cazier-si-certificat-de-integritate-pentru-profesori
2026-07-31,4,DUMP,article/guide:4,/apostila-de-la-haga-ghid-acte-obtinere /radiere-firma-srl-ghid /schimbare-sediu-social-srl-ghid /suspendare-activitate-firma-ghid
2026-08-07,5,DUMP,article/guide:5,/cazier-fiscal-fara-spv /cazier-fiscal-firma /cazier-fiscal-persoana-fizica /certificat-de-nastere-pentru-buletin-pasaport /verificare-cazier-fiscal
