unique_inlinks,inlinks,crawl_depth,tip,path,word_count,gsc_clicuri_3luni
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/bistrita-nasaud/,776,2
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/botosani/,773,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/braila/,773,9
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/brasov/,1002,15
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/bucuresti/,973,24
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/buzau/,784,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/calarasi/,783,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/caras-severin/,785,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/cluj/,986,6
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/constanta/,996,3
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/covasna/,787,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/dambovita/,786,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/dolj/,971,4
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/galati/,980,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/giurgiu/,780,2
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/gorj/,774,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/harghita/,775,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/hunedoara/,778,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/ialomita/,779,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/iasi/,993,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/ilfov/,960,5
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/maramures/,775,3
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/mehedinti/,781,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/mures/,987,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/neamt/,776,2
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/olt/,780,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/prahova/,955,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/salaj/,780,1
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/satu-mare/,801,9
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/sibiu/,993,2
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/suceava/,987,2
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/teleorman/,772,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/timis/,981,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/tulcea/,774,6
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/valcea/,779,3
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/vaslui/,773,0
14,14,2,locatie-cf,/servicii/extras-de-carte-funciara/vrancea/,785,1
