Dispozitiv,23.08.2026 - 08.09.2026 Clicuri,01.08.2026 - 17.08.2026 Clicuri,23.08.2026 - 08.09.2026 Expuneri,01.08.2026 - 17.08.2026 Expuneri,23.08.2026 - 08.09.2026 CTR,01.08.2026 - 17.08.2026 CTR,23.08.2026 - 08.09.2026 Poziție,01.08.2026 - 17.08.2026 Poziție
Mobile,9169,39852,50990,1271290,17.98%,3.13%,3.44,6.14
Desktop,2468,14154,20309,643174,12.15%,2.2%,8.8,6.35
Tabletă,55,294,314,7024,17.52%,4.19%,2.18,6.03
